1   2   3   4   5   6   7   8   9   10  11  12  13  14  15  16  
2   1   4   3   6   5   8   7   10  9   12  11  14  13  16  15  
3   4   1   2   7   8   5   6   11  12  9   10  15  16  13  14  
4   3   2   1   8   7   6   5   12  11  10  9   16  15  14  13  
5   6   7   8   1   2   3   4   13  14  15  16  9   10  11  12  
6   5   8   7   2   1   4   3   14  13  16  15  10  9   12  11  
7   8   5   6   3   4   1   2   15  16  13  14  11  12  9   10  
8   7   6   5   4   3   2   1   16  15  14  13  12  11  10  9   
9   10  11  12  13  14  15  16  1   2   3   4   5   6   7   8   
10  9   12  11  14  13  16  15  2   1   4   3   6   5   8   7   
11  12  9   10  15  16  13  14  3   4   1   2   7   8   5   6   
12  11  10  9   16  15  14  13  4   3   2   1   8   7   6   5   
13  14  15  16  9   10  11  12  5   6   7   8   1   2   3   4   
14  13  16  15  10  9   12  11  6   5   8   7   2   1   4   3   
15  16  13  14  11  12  9   10  7   8   5   6   3   4   1   2   
16  15  14  13  12  11  10  9   8   7   6   5   4   3   2   1   
