1   2   3   4   5   6   7   8   9   10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  
2   1   4   3   6   5   8   7   10  9   12  11  14  13  16  15  18  17  20  19  22  21  24  23  26  25  28  27  30  29  32  31  
3   4   1   2   7   8   5   6   11  12  9   10  15  16  13  14  19  20  17  18  23  24  21  22  27  28  25  26  31  32  29  30  
4   3   2   1   8   7   6   5   12  11  10  9   16  15  14  13  20  19  18  17  24  23  22  21  28  27  26  25  32  31  30  29  
5   6   7   8   1   2   3   4   13  14  15  16  9   10  11  12  21  22  23  24  17  18  19  20  29  30  31  32  25  26  27  28  
6   5   8   7   2   1   4   3   14  13  16  15  10  9   12  11  22  21  24  23  18  17  20  19  30  29  32  31  26  25  28  27  
7   8   5   6   3   4   1   2   15  16  13  14  11  12  9   10  23  24  21  22  19  20  17  18  31  32  29  30  27  28  25  26  
8   7   6   5   4   3   2   1   16  15  14  13  12  11  10  9   24  23  22  21  20  19  18  17  32  31  30  29  28  27  26  25  
9   10  11  12  13  14  15  16  1   2   3   4   5   6   7   8   25  26  27  28  29  30  31  32  17  18  19  20  21  22  23  24  
10  9   12  11  14  13  16  15  2   1   4   3   6   5   8   7   26  25  28  27  30  29  32  31  18  17  20  19  22  21  24  23  
11  12  9   10  15  16  13  14  3   4   1   2   7   8   5   6   27  28  25  26  31  32  29  30  19  20  17  18  23  24  21  22  
12  11  10  9   16  15  14  13  4   3   2   1   8   7   6   5   28  27  26  25  32  31  30  29  20  19  18  17  24  23  22  21  
13  14  15  16  9   10  11  12  5   6   7   8   1   2   3   4   29  30  31  32  25  26  27  28  21  22  23  24  17  18  19  20  
14  13  16  15  10  9   12  11  6   5   8   7   2   1   4   3   30  29  32  31  26  25  28  27  22  21  24  23  18  17  20  19  
15  16  13  14  11  12  9   10  7   8   5   6   3   4   1   2   31  32  29  30  27  28  25  26  23  24  21  22  19  20  17  18  
16  15  14  13  12  11  10  9   8   7   6   5   4   3   2   1   32  31  30  29  28  27  26  25  24  23  22  21  20  19  18  17  
17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  1   2   3   4   5   6   7   8   9   10  11  12  13  14  15  16  
18  17  20  19  22  21  24  23  26  25  28  27  30  29  32  31  2   1   4   3   6   5   8   7   10  9   12  11  14  13  16  15  
19  20  17  18  23  24  21  22  27  28  25  26  31  32  29  30  3   4   1   2   7   8   5   6   11  12  9   10  15  16  13  14  
20  19  18  17  24  23  22  21  28  27  26  25  32  31  30  29  4   3   2   1   8   7   6   5   12  11  10  9   16  15  14  13  
21  22  23  24  17  18  19  20  29  30  31  32  25  26  27  28  5   6   7   8   1   2   3   4   13  14  15  16  9   10  11  12  
22  21  24  23  18  17  20  19  30  29  32  31  26  25  28  27  6   5   8   7   2   1   4   3   14  13  16  15  10  9   12  11  
23  24  21  22  19  20  17  18  31  32  29  30  27  28  25  26  7   8   5   6   3   4   1   2   15  16  13  14  11  12  9   10  
24  23  22  21  20  19  18  17  32  31  30  29  28  27  26  25  8   7   6   5   4   3   2   1   16  15  14  13  12  11  10  9   
25  26  27  28  29  30  31  32  17  18  19  20  21  22  23  24  9   10  11  12  13  14  15  16  1   2   3   4   5   6   7   8   
26  25  28  27  30  29  32  31  18  17  20  19  22  21  24  23  10  9   12  11  14  13  16  15  2   1   4   3   6   5   8   7   
27  28  25  26  31  32  29  30  19  20  17  18  23  24  21  22  11  12  9   10  15  16  13  14  3   4   1   2   7   8   5   6   
28  27  26  25  32  31  30  29  20  19  18  17  24  23  22  21  12  11  10  9   16  15  14  13  4   3   2   1   8   7   6   5   
29  30  31  32  25  26  27  28  21  22  23  24  17  18  19  20  13  14  15  16  9   10  11  12  5   6   7   8   1   2   3   4   
30  29  32  31  26  25  28  27  22  21  24  23  18  17  20  19  14  13  16  15  10  9   12  11  6   5   8   7   2   1   4   3   
31  32  29  30  27  28  25  26  23  24  21  22  19  20  17  18  15  16  13  14  11  12  9   10  7   8   5   6   3   4   1   2   
32  31  30  29  28  27  26  25  24  23  22  21  20  19  18  17  16  15  14  13  12  11  10  9   8   7   6   5   4   3   2   1   
